normalized_rego,fleet_no,route_id,start_time,trip_id,start_date,time_retrieved,chassis,body,body_date,seating,livery,depot,operator,body_no,vin,extra_info,special_attrs
m/o 034,1282,2503_819,16:45:00,1966492,20250514,Wed May 14 17:04:03 2025,Volvo B12BLE,Custom Coaches CB60 Evo II,11/07,B51FW,Transport NSW,Hoxton Park,Transit Systems,07-144,YV3R8L4247A122346,"ex Hopkinson's Transport Pty Ltd, Smithfield m/o 034 13/10/13; ex (SA) SB84AV - Temporarily numbered (3) whilst on SA rego.",0
TV 527B,?527B,7083_8T6,17:37:00,2448965,20250514,Wed May 14 17:04:03 2025,BYD D9RA,Gemilang / Nexport,-/21,B42DW,,,NSBC,AUS ???,LC04S44S?L4000069,Reg 8/7/24.,0
TV 527B,?527B,7083_8T6,17:00:00,2448851,20250514,Wed May 14 17:04:03 2025,BYD D9RA,Gemilang / Nexport,-/21,B42DW,,,NSBC,AUS ???,LC04S44S?L4000069,Reg 8/7/24.,0
TV 610B,?610B,7083_8T6,17:16:00,2449022,20250514,Wed May 14 17:04:03 2025,BYD D9RA,Gemilang / Nexport,-/21,B42DW,,,NSBC,AUS ???,LC04S44S?L4000094,Reg 13/8/24.,0
TV 610B,?610B,7083_8T6,16:33:00,2448893,20250514,Wed May 14 17:04:03 2025,BYD D9RA,Gemilang / Nexport,-/21,B42DW,,,NSBC,AUS ???,LC04S44S?L4000094,Reg 13/8/24.,0
TV 615B,?615B,7083_8AT6,17:40:00,2437548,20250514,Wed May 14 17:04:03 2025,BYD D9RA,Gemilang / Nexport,11/21,B42DW,,,NSBC,AUS 435,LC04S44S8L4000099,Reg 13/9/24.,0
TV 615B,?615B,7083_8AT6,17:05:00,2437812,20250514,Wed May 14 17:04:03 2025,BYD D9RA,Gemilang / Nexport,11/21,B42DW,,,NSBC,AUS 435,LC04S44S8L4000099,Reg 13/9/24.,0
TV 616B,?616B,7083_8AT6,17:00:00,2437381,20250514,Wed May 14 17:04:03 2025,BYD D9RA,Gemilang / Nexport,-/21,B42DW,,,NSBC,AUS ???,LC04S44S?L4000097,Reg 13/9/24.,0
TV 616B,?616B,7083_8AT6,17:29:00,2438070,20250514,Wed May 14 17:04:03 2025,BYD D9RA,Gemilang / Nexport,-/21,B42DW,,,NSBC,AUS ???,LC04S44S?L4000097,Reg 13/9/24.,0
TV 617B,?617B,7083_8AT6,16:57:00,2437984,20250514,Wed May 14 17:04:03 2025,BYD D9RA,Gemilang / Nexport,-/21,B42DW,,,NSBC,AUS ???,LC04S44S?L4000103,Reg 13/9/24.,0
TV 617B,?617B,7083_8T6,17:32:00,2448651,20250514,Wed May 14 17:04:03 2025,BYD D9RA,Gemilang / Nexport,-/21,B42DW,,,NSBC,AUS ???,LC04S44S?L4000103,Reg 13/9/24.,0
TV 619B,?619B,7083_8AT6,17:37:00,2437972,20250514,Wed May 14 17:04:03 2025,BYD D9RA,Gemilang / Nexport,-/21,B42DW,,,NSBC,AUS ???,LC04S44S?L4000088,Reg 13/9/24.,0
TV 619B,?619B,7083_8AT6,17:08:00,2437587,20250514,Wed May 14 17:04:03 2025,BYD D9RA,Gemilang / Nexport,-/21,B42DW,,,NSBC,AUS ???,LC04S44S?L4000088,Reg 13/9/24.,0
m/o 741,0741,2502_850,16:21:00,2419084,20250514,Wed May 14 17:04:03 2025,MAN 19.320 HOCL-R-NL,Bustech VST,2/19,B49DW,Transport NSW,Smeaton Grange,Transit Systems,17/530,WMARC2ZZ0HC023481,"ex Neville's Bus Service Pty Ltd t/a Busabout, Smeaton Grange m/o 741 7/10/23; Reg 3/19.",0
m/o 741,0741,2502_850,17:45:00,2405720,20250514,Wed May 14 17:04:03 2025,MAN 19.320 HOCL-R-NL,Bustech VST,2/19,B49DW,Transport NSW,Smeaton Grange,Transit Systems,17/530,WMARC2ZZ0HC023481,"ex Neville's Bus Service Pty Ltd t/a Busabout, Smeaton Grange m/o 741 7/10/23; Reg 3/19.",0
m/o 750,0750,2502_887,17:35:00,2391881,20250514,Wed May 14 17:04:03 2025,MAN 19.320 HOCL-R-NL,Bustech VST,2/19,B49DW,Transport NSW,Smeaton Grange,Transit Systems,17/531,WMARC2ZZ6HC023484,"ex Neville's Bus Service Pty Ltd t/a Busabout, Smeaton Grange m/o 750 7/10/23; Reg 3/19.",0
m/o 750,0750,2502_887,16:06:00,2421550,20250514,Wed May 14 17:04:03 2025,MAN 19.320 HOCL-R-NL,Bustech VST,2/19,B49DW,Transport NSW,Smeaton Grange,Transit Systems,17/531,WMARC2ZZ6HC023484,"ex Neville's Bus Service Pty Ltd t/a Busabout, Smeaton Grange m/o 750 7/10/23; Reg 3/19.",0
m/o 765,?765,2514_281,16:05:00,2345566,20250514,Wed May 14 17:04:03 2025,Volvo B12BLE,Custom Coaches CB60,2/03,B51FW,Old Forest,FT,CDC NSW,02-124,YV3R8F8172A001371,ex Forest Coach Lines Pty Ltd (Next Capital) m/o 765 28/9/18; Chassis displayed at 2002 Bus and Coach Show.,0
m/o 765,?765,2514_277,17:45:00,1816233,20250514,Wed May 14 17:04:03 2025,Volvo B12BLE,Custom Coaches CB60,2/03,B51FW,Old Forest,FT,CDC NSW,02-124,YV3R8F8172A001371,ex Forest Coach Lines Pty Ltd (Next Capital) m/o 765 28/9/18; Chassis displayed at 2002 Bus and Coach Show.,0
m/o 807,?807,2504_607X,17:00:00,2451299,20250514,Wed May 14 17:04:03 2025,Bustech CDi - Cummins ISL,Bustech CDi,3/19,H57/35DW,Transport NSW,HF,CDC NSW,18/055,6K9CLGT23KB039048,,0
